"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2010","BE","Belgium",0.000000000,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2010","CZ","Czechia",0.000000000,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2010","DK","Denmark",84.375000000,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2010","ES","Spain",54.330125830,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2010","EU_EEA31","EU/EEA",70.908787000,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2010","FI","Finland",0.000000000,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2010","HR","Croatia",52.500000000,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2010","IE","Ireland",41.666666660,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2010","IT","Italy",77.337733770,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2010","LT","Lithuania",52.873563210,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2010","LV","Latvia",100.000000000,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2010","MT","Malta",0.000000000,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2010","NL","Netherlands",95.047169810,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2010","NO","Norway",33.333333330,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2010","PL","Poland",82.461873630,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2010","PT","Portugal",91.428571420,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2010","RO","Romania",0.000000000,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2010","SE","Sweden",54.166666660,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2010","SI","Slovenia",0.000000000,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2010","SK","Slovakia",100.000000000,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2011","BE","Belgium",0.000000000,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2011","CZ","Czechia",99.965337950,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2011","DK","Denmark",92.307692300,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2011","ES","Spain",63.147508630,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2011","EU_EEA31","EU/EEA",83.912801000,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2011","FI","Finland",0.000000000,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2011","IE","Ireland",43.835616430,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2011","IT","Italy",77.616580310,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2011","LT","Lithuania",59.375000000,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2011","LV","Latvia",90.000000000,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2011","MT","Malta",-,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2011","NL","Netherlands",94.704049840,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2011","NO","Norway",31.250000000,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2011","PL","Poland",78.143133460,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2011","PT","Portugal",90.298507460,""
"Mumps","All cases - Data quality","Completeness Vaccination status","%","2011","RO","Romania",94.554455440,""
