"2: Precepljenost predšolskih otrok (v %) proti ošpicam, mumpsu in rdeèkam - ocena, Slovenija, letno po spremenljivkah: Zdravstvena regija in Leto"

"Zdravstvena regija";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"SLOVENIJA";93.6;94.1;94.3;96.1;95.9;95.7;94.9;94.8;95.5;95.3;93.9;93.7;93.5;92.3;93.2;93.1;93.6;94.3
"Celje";98.2;95.2;99.2;96.7;99.0;98.2;98.4;96.5;98.3;98.3;97.5;96.4;96.6;96.6;95.7;95.1;96.1;96.1
"Nova Gorica";97.6;98.9;92.4;95.5;100.0;98.9;96.2;95.9;95.0;97.8;95.9;94.4;96.0;96.5;94.5;95.5;96.8;91.2
"Koper";92.0;93.4;92.4;95.8;92.3;92.8;90.6;92.5;93.3;97.4;94.8;94.1;92.6;91.5;93.3;92.9;92.7;87.4
"Kranj";95.8;93.6;94.6;94.3;91.6;92.4;91.2;96.8;96.8;93.7;96.1;91.1;90.4;94.9;91.0;92.9;93.5;95.5
"Ljubljana";93.6;92.2;91.5;96.7;95.8;95.5;95.3;92.1;94.0;91.5;89.3;90.9;89.6;88.0;90.4;90.8;89.7;93.6
"Maribor";96.8;95.8;95.7;94.7;95.6;93.3;94.5;95.7;95.6;97.8;95.8;95.9;96.0;90.9;94.9;91.8;96.0;97.6
"Murska Sobota";95.9;94.3;93.7;99.0;98.0;100.0;92.3;99.6;99.4;99.3;98.9;98.9;98.5;98.1;96.7;98.0;97.8;98.4
"Novo mesto";92.7;93.4;96.5;97.6;97.0;97.3;95.7;95.0;95.4;96.1;95.7;95.3;95.2;95.3;96.2;95.2;95.1;93.2
"Ravne";95.2;94.3;93.3;92.4;95.0;97.2;97.2;99.6;96.4;99.4;97.8;96.0;97.5;96.4;96.3;97.4;96.6;92.7
